DLAT,MDH1,DERA,HK1,GLB1,ADH7,GPT,ADCY7,DPYD,GFPT1,GCAT,DNMT3B,ALDH9A1,EZH2,ALDH1B1,AOC1,DCT,DLD,ALDH9A1,GCLM,DOLK,GALNT1,B4GALNT3,POFUT1,GCK,IDS,CHST15,B4GALT3,HS6ST3,IMPA1,PIGX,CHKA,CYP2J2,GALC,FUT6,LDHAL6A,PGP,ACADS,HMGCS2,NNT,MOCS2,ADH7,HMGCS1,CYP1A1,CYP1A2,DPYS,ELOVL2,ALG3,AGXT,IDH3B,ACSL4,ENO3,UPP2,CMPK2,GMPPB,FGF2,ADCY3,GSTA5,ABCC2,RPP40,MRPL22,XPOT,CPSF6,GTF2B
DLD,MDH2,PFKL,HK2,HK1,CPT1A,ARG1,ADCY8,DPYS,GLS2,GAMT,AHCY,ALDH3A2,ALDH2,ALDH9A1,HAL,DDC,DLST,ALDH3A2,HPGDS,FUT8,GALNT2,HEXA,GALNT1,GFPT1,IDUA,CHPF2,B4GALT2,NDST1,IMPA2,PIGV,CHKB,EPHX2,B4GALNT1,FUT7,DLAT,ACAT1,LDHB,ACSM4,NMRK2,PAH,RDH12,HMGCS2,CYP1A2,CYP2A6,DUT,ELOVL5,NME6,ECHS1,IDH3G,FASN,PRPS1L1,ADSL,NADK2,GMPPA,FGFR3,ADCY5,BBC3,ABCA13,UTP14A,RPSA,DDX19B,DDX19B,GTF2E1
ENO1,ACLY,PFKM,HK3,HK2,CPT1B,ARG2,ADCY9,DTYMK,GLS,PHGDH,AHCYL2,IL4I1,ALDH1B1,ALDH3A2,HDC,ALDH3A1,ECHS1,MLYCD,GPX1,B4GALT1,GALNT3,HEXB,GALNT2,CHIA,ARSB,CSGALNACT2,B3GNT7,XYLT2,INPP1,MPPE1,LYPLA2,PTGR1,SGMS1,B4GALT1,DLD,ACAT2,LDHC,ACSM2B,NT5C,PCBD1,CYP1A1,IDI1,CYP1B1,CYP2A7,TYMP,SCD,COQ7,ENO1,ACO1,ACSBG1,ALDOA,AK8,COX10,HK1,FGFR2,ADCY6,GSTA1,ABCA1,WDR3,RPL10A,NUP35,MSI2,GTF2E2
ENO2,ACO1,PFKP,KHK,HK3,CPT2,ASL,AK7,DUT,GLUD1,GATM,BHMT2,HIBCH,ALDH9A1,GAMT,HNMT,FAH,EHHADH,GAD1,GPX2,ALG5,GALNT8,B4GALNT4,GALNT3,GMDS,NAGLU,CHST12,,NDST4,INPP4A,PGAP1,PLD4,ALOX12,GLA,A4GALT,LDHD,MDH1,ALDH6A1,ACADS,AOX1,MOCOS,CYP1A2,ACAT1,CYP2A6,CYP2B6,GSTA5,SCP2,GLYAT,ENO2,ACO2,ACSL6,ALDOB,DCK,COX15,HK2,FOXO3,ADCY7,GSTA2,ABCA2,POP1,MRPS16,CSE1L,PABPC4L,GTF2F1
ENO3,OGDH,PGD,MPI,LALBA,ECI1,ASS1,CANT1,TYMP,GLUL,GCSH,IL4I1,ACAD8,ALDH3A2,AOC1,MAOA,LRTOMT,ALDH2,GAD2,GPX3,ALG6,GCNT1,STT3A,GALNT8,GMPPB,HPSE2,CSGALNACT1,,NDST2,INPP5A,PIGZ,PLA2G4E,ALOX12B,GLB1,ST3GAL4,ALDH2,MDH2,PCCA,ACAT1,NMNAT3,AKR1B10,CYP2A6,ACAT2,CYP2A7,CYP2C8,GSTA1,ACOT1,CBS,ENO3,BCAT1,MCAT,RPIA,DCTD,CPOX,HK3,MTOR,ADCY8,GSTA3,ABCA3,WDR36,MRPS18C,EEF1A1,PABPC5,GTF2F2
ALDH2,ACO2,PGM1,PFKFB1,LCT,ECHS1,NOS1,NUDT16,AK9,GOT1,GNMT,PHGDH,ACAA1,SETD1B,GATM,MAOB,ALDH3B1,ALDH1B1,HIBCH,GPX4,STT3A,ST6GALNAC4,MAN1A1,B4GALT1,GMPPA,SGSH,CHST7,,HS6ST2,INPP5B,PIGO,MBOAT2,ALOX15,CERS2,ST3GAL3,ALDH1B1,ACO1,PCCB,ACAT2,NNMT,PTS,CYP2A7,MVD,CYP2A13,CYP2C9,GSTA2,ELOVL1,TCIRG1,ESD,BCAT2,ACAA1,ALDOC,DGUOK,RDH12,MPI,EIF4E1B,ADCY9,GSTA4,ABCD1,RPP25L,RPS27L,EEF1A2,CSTF1,GTF2H3
ALDH3A1,PC,PGM2,PFKFB2,PFKL,EHHADH,NOS2,ADK,NT5C2,GOT2,GLDC,GCLC,HSD17B10,COLGALT2,GOT1,ASPA,ALDH3B2,ALDH9A1,HADHA,ANPEP,MAN1A1,GALNT18,MAN2A2,GXYLT1,HEXA,SPAM1,XYLT2,,NDST3,INPPL1,PIGY,DGKK,ALOX15B,HEXA,ST8SIA1,ALDH9A1,ACO2,ACOX1,OXCT1,PNP,QDPR,CYP3A7,MVK,CYP2B6,CYP3A4,GSTA3,ELOVL4,LANCL1,FBP1,GPT2,HADHA,GAPDH,DTYMK,CTPS1,PGM1,GAB1,MAPK14,GSTM1,ABCB7,CSNK2A1,MRPL2,CASC3,CSTF2,GTF2I
ALDH1B1,PCK1,PRPS1,PFKFB3,PFKM,ALDH2,NOS3,LACC1,NME7,RIMKLA,AMT,GCLM,HADHA,GCDH,GOT2,ALDH7A1,IL4I1,ALDH3A2,AOC2,GSR,MAN2A2,GALNTL6,MAN2A1,EOGT,HEXB,HYAL3,CHPF,,HS6ST1,ITPKA,GPAA1,GPAT2,PLA2G4F,HEXB,B3GNT4,ALDH3A2,PCCA,ECHDC1,HMGCLL1,NT5E,SPR,CYP2B6,PCYOX1,CYP2C9,CYP3A5,GSTA4,ELOVL6,B3GALT5,PRPS1L1,,HADHB,PHGDH,DUT,VKORC1L1,PGM3,SHC2,JAG1,GSTM2,ABCD2,CSNK2A2,MRPL4,NCBP2,CSTF3,GTF2H5
FBP1,PDHA1,PRPS2,PFKFB4,PFKP,ACSL1,OTC,ADSL,NT5C,GPT,DMGDH,MAT2B,HADHB,SETD2,P4HA3,CNDP2,GOT1,HAAO,GADL1,GSS,MAN2A1,GCNT4,MGAT1,POMT2,HK1,,,,HS2ST1,ITPKB,DPM2,PLB1,PLA2G2D,ENPP7,B3GNT5,FH,PCCB,ACSS2,ACSM5,SIRT7,TH,CYP2C8,PDSS2,CYP2F1,ALDH3A1,GSTM1,SCD5,AKR1A1,ALDOA,,HSD17B4,MAT2B,TYMP,ADSL,PMM1,GAS6,HBEGF,GSTM3,ABCB10,SPATA5,MRPS7,ACIN1,ETF1,MNAT1
ALDH3B1,PDHA2,RPE,PFKL,PGM1,ACSL3,GPT2,AK8,NUDT2,NAT8L,PSAT1,GOT1,HMGCL,HADHA,PYCR2,CARNS1,GOT2,IL4I1,ACADS,GSTA1,MGAT1,GALNT10,MGAT2,GALNT18,HK2,,,,HS3ST3B1,ALDH6A1,PIGQ,MBOAT1,GGT1,ACER2,B4GALT4,GLO1,HAO2,BCKDHA,ACSM3,SIRT6,TPH1,CYP2C9,DHDDS,CYP3A4,ALDH3B1,GSTM2,ELOVL7,B3GNT3,FH,,ACADL,GLUL,AK1,AK8,PMM2,GRB2,E2F1,GSTM4,ABCB9,DKC1,MRPS2,XPO7,CASC3,TAF9B
ALDH3B2,PDHB,RBKS,PFKM,PGM2,ACSL4,,DCK,ENTPD8,ASL,AOC2,GOT2,HMGCS1,ACAT1,ARG1,,GSTZ1,AOC1,ALDH6A1,GSTA2,MGAT2,ST6GALNAC1,ALG11,LFNG,HK3,,,,HS3ST3A1,MTM1,PIGM,DGKA,GGT5,ARSA,B4GALT3,HAGH,ACSS2,BCKDHB,OXCT2,ENPP1,PCBD2,CYP2C18,IDI2,CYP3A5,GSTA5,GSTM3,ACOX3,CDO1,ALDOB,,ACADM,GOT1,AK2,IDO2,NANS,GSK3B,E2F3,GSTM5,ABCA6,XRN2,RPL26L1,NUP205,NCBP2,TAF7L
ALDH9A1,OGDHL,TALDO1,PFKP,AKR1B10,ALDH1B1,,DGUOK,NME1,ASNS,MAOA,GSS,HMGCS2,ACAT2,ARG2,,HGD,GCDH,ALDH7A1,GSTA3,MGAT3,C1GALT1,ALG1,MFNG,MPI,,,,HS3ST2,OCRL,PIGS,DGKB,HPGDS,ASAH1,B4GALT2,ACACB,SHMT2,ACSS3,AACS,ENPP3,AKR1C3,RDH10,GGPS1,AKR1C1,ALDH3B2,GSTM4,ELOVL3,BPNT1,RPIA,,ACADS,GOT2,AK4,DHFR,PGM2,HGF,EGFR,GSTP1,ABCA5,WDR43,RSL24D1,XPO6,ACIN1,TAF1
ALDH3A2,SDHA,TKT,PMM1,SI,ALDH9A1,,AK1,NME2,ASPA,MAOB,PSAT1,AOX1,KMT2A,MAOA,,AOC2,HADHA,ACOX1,GSTA4,MGAT5,GALNT16,MAN1C1,GALNTL6,AMDHD2,,,,,PLCE1,PIGL,DGKG,PLA2G4D,NEU2,B3GALNT1,ACAT1,HYI,ACOX3,ALDH5A1,NMRK1,CBR1,CYP3A4,,EPHX1,FMO1,GSTM5,HACD1,CEPT1,ALDOC,,ACADSB,GPT,AK9,DHODH,NAGK,NRG1,ERBB2,MSH6,ABCA4,GTPBP4,MRPL27,NUP210,SMG1,TAF2
ALDOA,SDHB,TKTL1,PMM2,UGP2,ALDH3A2,,AK2,NME3,ASS1,PGAM4,LDHB,ACADM,ALDH7A1,MAOB,,AOX1,AOX1,CSAD,GSTM1,ALG11,GALNT11,RPN1,GALNT10,CYB5R4,,,,,ISYNA1,,DGKH,ZADH2,SPTLC3,B3GALT2,ACAT2,ACSS1,ACSS1,,NADSYN1,,CYP3A5,,ALDH3A1,FMO2,GSTP1,,CDS1,G6PD,,ACADVL,PYCR2,NT5C2,NQO1,MIOX,IGF1,AKT1,APAF1,ABCA12,REXO2,MRPL35,NUP160,CSTF2T,TAF4B
ALDOB,SDHC,TKTL2,ENOSF1,B4GALT2,ACSBG1,,AK4,NME4,PPAT,ALDH7A1,LDHC,ACADS,PIPOX,NOS1,,HPD,IDO1,UPB1,GSTM2,DPM3,ST3GAL1,RPN2,C1GALT1,CYB5R2,,,,,INPP5K,,DGKQ,GPX4,ACER3,,LDHB,MCEE,MCEE,,ASPDH,,AWAT2,,ALDH3B1,FMO3,GUSB,,PEMT,PGLS,,ACAT1,PSAT1,AK5,DLD,GNPNAT1,IGF1R,AKT2,BIRC2,ABCB5,GNL3,MRPS21,NUP188,SMG6,TAF5
ALDOC,SDHD,FBP2,AKR1B10,G6PC3,ACSL6,,AK9,NT5E,NIT2,PIPOX,MAT1A,ACADSB,PLOD1,NOS2,,MAOA,ACAT1,SMOX,GSTM3,ALG1,ST3GAL2,CHST8,POGLUT1,CYB5R1,,,,,PIK3C2A,,PHOSPHO1,PLA2G2E,SMPD3,,LDHC,CAT,SUCLG2,,NT5M,,CYP26A1,,GSTA5,FMO4,NME7,,ST3GAL6,GAPDH,,ACAT2,IDH1,AMPD1,SDR16C5,UAP1,IL6,ESR1,BIRC3,ABCB1,RRP7A,MRPL16,TNPO3,SMG5,TAF6
GAPDH,SUCLG2,RGN,TIGAR,,GCDH,,PRPS1L1,RRM2B,RIMKLB,PGAM1,MAT2A,IVD,PLOD2,NOS3,,MAOB,ACAT2,CNDP2,GSTM4,MAN1C1,GALNT14,ST3GAL3,GALNT16,PGM1,,,,,PIK3C2B,,GPD1L,HPGD,SMPD4,,MDH1,,SUCLG1,,NMNAT1,,SDR16C5,,ALDH3B2,FMO5,HPRT1,,CDIPT,TKFC,,FADS1,IDH2,AMPD2,AK1,UGDH,IL6R,ESR2,BIRC5,ABCB4,CSNK2A3,MRPS18A,KPNA6,TARDBP,TAF7
GAPDHS,SUCLG1,,SORD,,ACAA1,,FHIT,HDDC2,AGXT2,PGAM2,MDH1,ACAT1,TMLHE,OAT,,PNMT,MAOA,CARNS1,GSTM5,DOLPP1,GALNT12,ALG12,RFNG,PGM3,,,,,PIK3C2G,,LPIN1,LTA4H,PSAP,,MDH2,,SUCLA2,,NADK,,ALDH1A1,,AKR7A3,HPGDS,IMPDH1,,ACAA2,PHGDH,,HACD4,IDH3A,AMPD3,AK2,UGP2,ARAF,FOS,FAS,ABCD3,NOB1,MRPS10,NUP62,GSPT2,TAF10
GCK,,,TPI1,,HADHA,,ENPP4,NT5C3A,CAD,CHDH,MDH2,ACAT2,DHTKD1,ODC1,,TAT,MAOB,ACOX3,GSTP1,RPN1,GALNT4,ALG9,GALNT11,PMM1,,,,,PIK3C3,,PLD3,CYP4F3,ASAH2,,ME1,,,,BST1,,ALDH1A3,,AKR7L,GSTA1,IMPDH2,,AGPAT2,HIBCH,,ACOX1,IDH3B,GMPR,AK4,UXS1,JAK1,MTOR,FASLG,ABCD4,DROSHA,RPL3,AHCTF1,FUS,TAF11
HK1,,,FBP2,,HADHB,,NT5C2,ENPP1,ALDH5A1,PSPH,MPST,ALDH6A1,ASH1L,ALDH7A1,,TH,ALDH7A1,CNDP1,IDH1,RPN2,GCNT3,ALG13,ST6GAL1,PMM2,,,,,PIK3CA,,PLA2G15,PLA2G3,SPHK2,,ME2,,,,NUDT12,,CYP2S1,,DHDH,GSTA2,ITPA,,SPTLC1,GCK,,HSD17B12,IDH3G,GUK1,ALAD,FPGT,JAK2,SHC2,MDM2,ABCG4,NXT1,RPL3L,UPF2,UPF2,TAF12
HK2,,,,,ACADL,,AK5,ENPP3,GPT2,BHMT,MTAP,ALDH7A1,KMT2E,P4HA1,,TYR,DHTKD1,,IDH2,ST6GAL1,,TUSC3,ST3GAL3,NANS,,,,,PIK3CB,,PISD,PLA2G1B,GBA2,,ALDH7A1,,,,NT5C1A,,AOX1,,HPGDS,GSTA3,MGST1,,CEL,GCSH,,HACD3,ARG1,NME7,ALAS1,UAP1L1,KDR,GNAS,MAP3K5,ABCG5,GNL2,RPL4,GLE1,DAZAP1,TAF13
HK3,,,,,ACADM,,AMPD1,CMPK1,DDO,SRR,MTR,OXCT1,SMYD2,LAP3,,TYRP1,ALDH8A1,,GSTK1,MOGS,,CHST9,GXYLT2,PGM2,,,,,PIK3CD,,LCLAT1,PLA2G2A,CERK,,PC,,,,NT5C1B,,DHRS4L2,,GSTA1,GSTA4,MGST2,,POMT1,GLDC,,ACSL5,ARG2,NT5C,ALAS2,,KRAS,GPER1,MGST1,ABCG8,FBLL1,RPL5,NXT1,PABPC1,TBP
LDHB,,,,,ACADS,,AMPD2,UPB1,ALDH4A1,SHMT2,APIP,PCCA,PRDM9,SMOX,,FAHD1,TPH1,,MGST1,ALG8,,ALG2,GALNT14,NAGK,,,,,PIK3CG,,LPCAT4,PLA2G4A,SMPD1,,PCK1,,,,,,CYP27C1,,GSTA2,GSTM1,MGST3,,MTHFS,GLUD1,,ELOVL2,MAT1A,HPRT1,ALDH2,,SHC4,GRB2,MGST2,ABCC8,EIF6,RPL6,TNPO2,GLE1,TAF3
LDHC,,,,,ACADSB,,PDE7B,UCKL1,,AGXT2,ENOPH1,PCCB,KMT2C,CKMT1A,,,CAT,,MGST2,ALG12,,B4GALT3,GALNT12,RENBP,,,,,PI4KA,,PLA2G4F,PLA2G5,SMPD2,,PDHA1,,,,,,CYP26C1,,GSTA3,GSTM2,MPO,,PAICS,AMT,,OXSM,MAT2A,APRT,ALDH1B1,,MET,IGF1,MGST3,ABCC11,NVL,RPL7,NUP43,SSU72,CCNH
PGAM4,,,,,ACADVL,,AMPD3,CTPS2,,BPGM,BCAT1,HMGCLL1,PRDM16,CNDP2,,,KMO,,MGST3,SRD5A3,,,COLGALT1,CYB5RL,,,,,PI4KB,,PLA2G2D,PTGDS,UGCG,,PDHA2,,,,,,RDH8,,GSTA4,GSTM3,NME1,,ST6GALNAC2,GOT1,,PPT1,ASL,IMPDH1,AK9,,NF1,IGF1R,MLH1,ABCC3,NMD3,RPL8,KPNA1,NXT1,TBPL1
ALDH7A1,,,,,ACAT1,,GMPR,NT5M,,AOC3,BCAT2,AUH,SETMAR,PRODH,,,,,GPX8,ALG9,,,ST6GAL2,GNPNAT1,,,,,PIP4K2A,,GPD1,PTGIS,UGT8,,PDHB,,,,,,RDH11,,GSTM1,GSTM4,NME2,,PMVK,GOT2,,ELOVL5,ASNS,IMPDH2,FECH,,NRAS,ARAF,MSH2,ABCC12,FCF1,RPL9,KPNB1,GSPT1,
PCK1,,,,,ACAT2,,GUCY1A2,RRM1,,,BHMT,MCCC1,NSD1,CARNS1,,,,,CHAC2,ALG13,,,OGT,UAP1,,,,,PLCB2,,GPD2,PTGS1,PSAPL1,,PKM,,,,,,BCO1,,GSTM2,GSTM5,NME3,,B3GNT2,PGP,,SCD,PGAM4,ITPA,ALDH3A2,,PDGFA,JAG2,MSH3,ABCG2,UTP18,RPL10,KPNA2,PABPC1L2A,
PDHA1,,,,,ALDH7A1,,GUCY2C,RRM2,,,AGXT2,BCAT1,SMYD3,PYCR1,,,,,ODC1,TUSC3,,,GALNT4,UGDH,,,,,PLCB3,,PLA2G4D,PTGS2,CERS4,,ACSS2,,,,,,UGT2B28,,GSTM3,GSTP1,NME4,,EBP,GPT,,SCP2,ASS1,ENTPD8,NMNAT2,,PDGFB,JUN,ATM,,SBDS,RPL11,KPNA3,PABPN1L,
PDHA2,,,,,ACOX1,,GUCY2F,TK1,,,SMS,BCAT2,SUV39H1,ALDH18A1,,,,,RRM2B,ST6GAL2,,,B4GALT3,UGP2,,,,,PLCB4,,PLA2G2E,PLA2G2F,DEGS1,,ACSS1,,,,,,UGT1A10,,GSTM4,AOX1,RRM2B,,FUT9,PSAT1,,ELOVL1,MTR,NME1,QPRT,,PDGFRA,KRAS,PDPK1,,POP5,RPL12,KPNA4,MAGOH,
PDHB,,,,,ACSL5,,GUK1,TK2,,,SRM,BCKDHA,PRDM2,PRODH2,,,,,LAP3,ALG10,,,B4GALT2,UXS1,,,,,PLCD1,,PNPLA7,TBXAS1,SPHK1,,LDHAL6B,,,,,,UGT1A7,,GSTM5,GSTK1,CMPK1,,ADCY1,HK1,,ELOVL4,ACO1,NME2,HAAO,,PDGFRB,SHC4,PIK3CA,,NOP58,RPL13,KPNA5,MSI1,
